"Portal","Job Title","Company","URL","About the job","Pay","Location","Summary","Requirements","Responsibilities","Benefits","Scraped At"
"USAJOBS","Teller","Defense Commissary Agency","https://www.usajobs.gov:443/job/878639400","Serves as a Teller in a commissary store at a Defense Commissary Agency (DeCA) facility. The primary purpose of this position is to control and account for all funds received and deposited daily as part of commissary store operations. Specific assignments vary by individual store and store management requirements. Read the entire announcement before starting the application process.","$37644-$48940 PA","Moon, Pennsylvania","Serves as a Teller in a commissary store at a Defense Commissary Agency (DeCA) facility. The primary purpose of this position is to control and account for all funds received and deposited daily as part of commissary store operations. Specific assignments vary by individual store and store management requirements. Read the entire announcement before starting the application process.","","","","2026-08-10T09:31:30.557014+00:00"
"USAJOBS","FLEX Recreation Aid","Commander, Navy Installations Command","https://www.usajobs.gov:443/job/879308300","This position is assigned to the Morale, Welfare, and Recreation (MWR) Department; Fleet Readiness (N92); Commander, Navy Region Naval District Washington; NAS Patuxent River, MD. Incumbent serves as a Recreation Aide, providing customer service and support for the Bowling Center Front Desk and Snack Bar.","$15-$15 PH","Naval Air Station Patuxent River, Maryland","This position is assigned to the Morale, Welfare, and Recreation (MWR) Department; Fleet Readiness (N92); Commander, Navy Region Naval District Washington; NAS Patuxent River, MD. Incumbent serves as a Recreation Aide, providing customer service and support for the Bowling Center Front Desk and Snack Bar.","","","","2026-08-10T09:31:30.557945+00:00"
"USAJOBS","CASHIER (OA)","Air Education and Training Command","https://www.usajobs.gov:443/job/867051100","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the 97th FSS Club Altus. This position is a Flexible position (flexible positions DO NOT have any benefits) Intermittent (flexible) employees have no guaranteed hours but may be worked 0 to 40 hours a week.","$15-$15 PH","Altus AFB, Oklahoma","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the 97th FSS Club Altus. This position is a Flexible position (flexible positions DO NOT have any benefits) Intermittent (flexible) employees have no guaranteed hours but may be worked 0 to 40 hours a week.","","","","2026-08-10T09:31:30.558783+00:00"
"USAJOBS","Motor Vehicle Operator (Food Service Worker)","Air Force Global Strike Command","https://www.usajobs.gov:443/job/871130500","This announcement is in conjunction with the Minot AFB NAF Job Fair on Thursday 6 Aug 2026 from 1PM - 4PM at the Rough Rider Golf Course. About: This position will be a MOTOR VEHICLE OPERATOR (FOOD SERVICE WORKER) assigned to ROCKERS BAR & GRILL at Minot AFB, ND. This is a FLEXIBLE (FLEX) position and does not have guaranteed hours; you may work 0-40 hours/week as needed by the facility. Employees are eligible to use: fitness center, golf course, bowling center, clubs, swimming pool.","$20.61-$20.61 PH","Minot AFB, North Dakota","This announcement is in conjunction with the Minot AFB NAF Job Fair on Thursday 6 Aug 2026 from 1PM - 4PM at the Rough Rider Golf Course. About: This position will be a MOTOR VEHICLE OPERATOR (FOOD SERVICE WORKER) assigned to ROCKERS BAR & GRILL at Minot AFB, ND. This is a FLEXIBLE (FLEX) position and does not have guaranteed hours; you may work 0-40 hours/week as needed by the facility. Employees are eligible to use: fitness center, golf course, bowling center, clubs, swimming pool.","","","","2026-08-10T09:31:30.559669+00:00"
"USAJOBS","RECREATION ASSISTANT NF2* (FLEX) INFORMATION, TICKETS & TOURS (ITT) OFFICE","U.S. Marine Corps","https://www.usajobs.gov:443/job/877672000","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","$19.19-$19.19 PH","Kaneohe, Hawaii","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","","","","2026-08-10T09:31:30.561114+00:00"
"USAJOBS","Operations Assistant","Air Education and Training Command","https://www.usajobs.gov:443/job/878083800","About the position: This position will be assigned to the Keesler AFB, MS. This is a Regular Part Time (RPT) position with benefits (medical, dental, life insurance, retirement, 401(k), and annual/sick leave.","$18.07-$18.07 PH","Keesler AFB, Mississippi","About the position: This position will be assigned to the Keesler AFB, MS. This is a Regular Part Time (RPT) position with benefits (medical, dental, life insurance, retirement, 401(k), and annual/sick leave.","","","","2026-08-10T09:31:30.562176+00:00"
"USAJOBS","Snack Bar Manager (Polar Bowl)","Pacific Air Forces","https://www.usajobs.gov:443/job/878912600","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the Polar Bowl on JBER. Regular Full-Time employees have a regular and continuous work schedule of at least 35 hours to a maximum of 40 hours per week. You are eligible for the following benefits: Health and Life Insurance, Awards, Leave, Retirement, 401K, Overtime Pay, Workers' Compensation, Shift Differential, Sunday Premium Pay, Holiday Pay.","$25-$28 PH","Elmendorf AFB, Alaska","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the Polar Bowl on JBER. Regular Full-Time employees have a regular and continuous work schedule of at least 35 hours to a maximum of 40 hours per week. You are eligible for the following benefits: Health and Life Insurance, Awards, Leave, Retirement, 401K, Overtime Pay, Workers' Compensation, Shift Differential, Sunday Premium Pay, Holiday Pay.","","","","2026-08-10T09:31:30.562842+00:00"
"USAJOBS","Biological Science Technician (Wildlife)","Air Force Materiel Command","https://www.usajobs.gov:443/job/879139400","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the Eglin Natural Resources Office (Jackson Guard). Position is Regular Full-time (RFT) guaranteed 35 hours per week. RFT employees receive benefits (Health/Life Insurance; 401K & AFNAF Retirement Plan; Annual/Sick Leave and Holidays).","$20.99-$22.99 PH","Eglin AFB, Florida","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the Eglin Natural Resources Office (Jackson Guard). Position is Regular Full-time (RFT) guaranteed 35 hours per week. RFT employees receive benefits (Health/Life Insurance; 401K & AFNAF Retirement Plan; Annual/Sick Leave and Holidays).","","","","2026-08-10T09:31:30.563883+00:00"
"USAJOBS","F-35 Commander's Action Division Director -DIRECT HIRE AUTHORITY","Air Force Materiel Command","https://www.usajobs.gov:443/job/867019000","Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is to serve as a F-35 Commander's Action Division Director for the organization. The incumbent serves as the principal advisor to Senior leadership on all matters relating to strategic communications in support of the PEO/Director associated with the organization.","$143913-$197200 PA","Arlington, Virginia","Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is to serve as a F-35 Commander's Action Division Director for the organization. The incumbent serves as the principal advisor to Senior leadership on all matters relating to strategic communications in support of the PEO/Director associated with the organization.","","","","2026-08-10T09:31:30.564781+00:00"
"USAJOBS","IT SPECIALIST (NETWORK) (TITLE 32)","Air National Guard Units","https://www.usajobs.gov:443/job/877413200","This National Guard position is for a IT SPECIALIST (NETWORK) (TITLE 32), Position Description Number D1937P01 and is part of the FL HQ 101 AOG, National Guard.","$68545-$97867 PA","Tyndall AFB, Florida","This National Guard position is for a IT SPECIALIST (NETWORK) (TITLE 32), Position Description Number D1937P01 and is part of the FL HQ 101 AOG, National Guard.","","","","2026-08-10T09:31:30.565774+00:00"
"USAJOBS","IT SPECIALIST (CUSTSPT)(Title 32)","Air National Guard Units","https://www.usajobs.gov:443/job/879332900","THIS IS A TITLE 32 DUAL STATUS POSITION DUTY LOCATION: 103d Communications Flight (CF), East Granby, CT AREA(S) OF CONSIDERATION: Area 1: All currently employed full-time permanent and indefinite personnel, assigned to the Communication Flight of the CTANG. Area 2: All currently employed full-time temporary technician personnel and all current traditional members, assigned to the Communication Flight the CTANG.","$70127-$109545 PA","East Granby, Connecticut","THIS IS A TITLE 32 DUAL STATUS POSITION DUTY LOCATION: 103d Communications Flight (CF), East Granby, CT AREA(S) OF CONSIDERATION: Area 1: All currently employed full-time permanent and indefinite personnel, assigned to the Communication Flight of the CTANG. Area 2: All currently employed full-time temporary technician personnel and all current traditional members, assigned to the Communication Flight the CTANG.","","","","2026-08-10T09:31:30.566380+00:00"
"USAJOBS","Recreation Aid (Liberty/Augusta Bay) - Flexible","Commander, Navy Installations Command","https://www.usajobs.gov:443/job/847127700","This position is located in the Recreation Centers, Liberty/Deployed Forces Support Branch, Community Activities Division, Morale, Welfare and Recreation (MWR) Department, U.S. Naval Air Station, Sigonella, Italy. The Recreation Centers are intended to provide a comprehensive social recreation environment and snack bar operation. The primary purpose of the position is to assist in the general operations of the recreation center, event planning, administration and promotion of the facility.","$15-$15 PH","Sigonella Sicily, Italy","This position is located in the Recreation Centers, Liberty/Deployed Forces Support Branch, Community Activities Division, Morale, Welfare and Recreation (MWR) Department, U.S. Naval Air Station, Sigonella, Italy. The Recreation Centers are intended to provide a comprehensive social recreation environment and snack bar operation. The primary purpose of the position is to assist in the general operations of the recreation center, event planning, administration and promotion of the facility.","","","","2026-08-10T09:31:30.567509+00:00"
"USAJOBS","RECREATION AID (LIFEGUARD)","Air Mobility Command","https://www.usajobs.gov:443/job/852821600","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the Joint Base Charleston or Naval Weapons Station Base Pool. Will be determined by the facility. May work have to work at both the Charleston Air Force Base and Weapon Station which is be determined by the facility. Physical Effort: Must be physically fit and be capable of lifting and moving up to 40 pounds.","$16.5-$16.5 PH","Multiple Locations","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the Joint Base Charleston or Naval Weapons Station Base Pool. Will be determined by the facility. May work have to work at both the Charleston Air Force Base and Weapon Station which is be determined by the facility. Physical Effort: Must be physically fit and be capable of lifting and moving up to 40 pounds.","","","","2026-08-10T09:31:30.568747+00:00"
"USAJOBS","BRIDGEPORT, CA - FOOD SERVICE WORKER A05","U.S. Marine Corps","https://www.usajobs.gov:443/job/874970300","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","$21-$21 PH","Bridgeport, California","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","","","","2026-08-10T09:31:30.569822+00:00"
"USAJOBS","Purchasing Agent","Veterans Health Administration","https://www.usajobs.gov:443/job/878828100","This position serves as a Purchasing Agent for the Logistics Service within the VA Health Care System Supply Chain Management performing work to acquire supplies, services, and construction by purchase, rental, or lease through (a) delivery orders and/or (b) small purchase procedures.","$51871-$67432 PA","San Diego, California","This position serves as a Purchasing Agent for the Logistics Service within the VA Health Care System Supply Chain Management performing work to acquire supplies, services, and construction by purchase, rental, or lease through (a) delivery orders and/or (b) small purchase procedures.","","","","2026-08-10T09:31:30.570997+00:00"
"USAJOBS","Guest Services Manager","Air Education and Training Command","https://www.usajobs.gov:443/job/879389200","This position is Non-appropriated Fund (NAF) and will be assigned to JBSA Lackland Lodging. This is a regular part-time category position with guaranteed 20 hours per week, may work up to 40 hrs./week. Employees appointed to a regular category position are eligible for benefits.","$19-$19 PH","Lackland AFB, Texas","This position is Non-appropriated Fund (NAF) and will be assigned to JBSA Lackland Lodging. This is a regular part-time category position with guaranteed 20 hours per week, may work up to 40 hrs./week. Employees appointed to a regular category position are eligible for benefits.","","","","2026-08-10T09:31:30.571747+00:00"
"USAJOBS","IT SPECIALIST (CUSTSPT)","Air National Guard Units","https://www.usajobs.gov:443/job/870809800","THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a IT SPECIALIST (CUSTSPT), Position Description Number D2182P01 and is part of the NE 155 CF, National Guard.","$57331-$97867 PA","Lincoln, Nebraska","THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a IT SPECIALIST (CUSTSPT), Position Description Number D2182P01 and is part of the NE 155 CF, National Guard.","","","","2026-08-10T09:31:30.572482+00:00"
